交易日期,品種代碼,魚貨名稱,上價元/公斤,中價元/公斤,下價元/公斤,交易量公斤,交易量漲跌幅+(-)%,平均價元/公斤,平均價漲跌幅+(-)%
2019-01-18,1041,虱目魚,100.3,88.2,70.0,4190.2,-5.3,87.0,2.4
2019-01-17,1041,虱目魚,100.0,85.8,67.5,4422.8,7.3,85.0,-0.2
2019-01-16,1041,虱目魚,100.1,86.0,67.8,4120.2,-0.8,85.2,-8.8
2019-01-15,1041,虱目魚,100.3,93.9,84.9,4151.5,0.0,93.4,0.0
2019-01-14,9999,休市,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-13,1041,虱目魚,100.0,84.8,59.3,3924.4,-19.3,82.7,0.9
2019-01-12,1041,虱目魚,100.6,81.9,63.6,4861.4,20.9,82.0,-2.5
2019-01-11,1041,虱目魚,100.2,84.7,66.3,4022.4,-2.8,84.1,-2.2
2019-01-10,1041,虱目魚,100.0,87.1,68.6,4140.3,-5.1,86.0,1.3
2019-01-09,1041,虱目魚,100.4,84.8,70.0,4364.5,3.8,84.9,-2.4
2019-01-08,1041,虱目魚,100.2,88.3,70.0,4206.7,0.0,87.0,0.0
2019-01-07,9999,休市,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-06,1041,虱目魚,100.6,89.7,69.2,5015.8,1.2,87.8,5.9
2019-01-05,1041,虱目魚,102.5,83.6,61.1,4958.5,13.4,82.9,-1.5
2019-01-04,1041,虱目魚,100.3,84.2,68.2,4372.3,-2.4,84.2,0.4
2019-01-03,1041,虱目魚,101.3,84.0,66.3,4479.2,-1.3,83.9,0.5
2019-01-02,1041,虱目魚,100.8,85.0,61.6,4535.9,9.0,83.5,-6.3
2019-01-01,1041,虱目魚,104.1,90.9,69.6,4159.6,0.0,89.1,0.0
2018-12-31,9999,休市,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-30,1041,虱目魚,100.5,91.4,76.5,4326.7,3.4,90.2,6.2
2018-12-29,1041,虱目魚,101.9,85.0,67.7,4184.0,-1.5,84.9,1.4
2018-12-28,1041,虱目魚,100.2,83.3,68.5,4245.6,-2.7,83.7,-0.1
